icpsr_study_number,n_articles,max_detection_score,mean_detection_score,title,doi,snippet
22405,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 2006",https://doi.org/10.3886/icpsr22405,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 2006
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 2006 (ICPSR 22405)
Version Date:
Sep 28, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
22407,2,47.0,47.0,"National Incident-Based Reporting System, 2006",https://doi.org/10.3886/icpsr22407.v1,"National Incident-Based Reporting System, 2006
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Incident-Based Reporting System, 2006 (ICPSR 22407)
Version Date:
Aug 11, 2008
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
22541,1,58.0,58.0,"Global Terrorism Database 1.1, 1970-1997",https://doi.org/10.3886/icpsr22541,"Global Terrorism Database 1.1, 1970-1997
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Global Terrorism Database 1.1, 1970-1997 (ICPSR 22541)
Version Date:
Sep 17, 2013
View help for published
Principal Investigator(s):
View help for Principal Investigator(s)
Gary LaFree
, University of Maryland;
Laura Dugan
, University of Maryland
https://doi.org/10.3886/ICPSR22541.v2
Version V2
This version of the data collection is no longer distributed by ICPSR."
2259,1,48.0,48.0,"National Incident-Based Reporting System, 1995",https://doi.org/10.3886/icpsr02259,"National Incident-Based Reporting System, 1995
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Incident-Based Reporting System, 1995 (ICPSR 2259)
Version Date:
Jul 8, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
2282,1,62.0,62.0,American National Election Study: 1997 Pilot Study,https://doi.org/10.3886/icpsr02282,"American National Election Study: 1997 Pilot Study
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
American National Election Study: 1997 Pilot Study (ICPSR 2282)
Version Date:
Oct 7, 1999
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Rosenstone, Steven J., Sapiro, Virginia, Miller, Warren E., Kinder, Donald R., and National Election Studies."
22840,1,54.0,54.0,"Midlife in the United States (MIDUS 2): Milwaukee African American Sample, 2005-2006",https://doi.org/10.3886/icpsr22840,"Midlife in the United States (MIDUS 2): Milwaukee African American Sample, 2005-2006
Skip to Main Content
Search
Site Content
Data
Home
Search Data
Search Holdings
Data
Series
SDA (Online Analysis)
Publications
Restricted Data
Deposit Data
Deposit
Depositor Checklist
Acquisitions Policy
Share Using NACDA-OAR
About
Overview
Newsletters and Announcements
Podcasts and Webinars
Help
More Data Resources
Longitudinal Data Resources
NACDA Colectica Portal
Accessing Restricted Data
NSHAP
MIDUS
NHATS and HRS
Midlife in the United States (MIDUS 2): Milwaukee African American Sample, 2005-2006 (ICPSR 22840)
Version Date:
Feb 26, 2024
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Ryff, Carol D., Almeida, David M., Ayanian, John Z., Carr, Deborah S., Cleary, Paul D., Coe, Christopher, … Williams, David R."
22884,1,48.0,48.0,"National Incident-Based Reporting System, 1999: Extract Files",https://doi.org/10.3886/icpsr22884,"National Incident-Based Reporting System, 1999: Extract Files
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Incident-Based Reporting System, 1999: Extract Files (ICPSR 22884)
Version Date:
Sep 14, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
National Archive of Criminal Justice Data."
2295,2,59.0,59.0,"California Drug and Alcohol Treatment Assessment (CALDATA), 1991-1993",https://doi.org/10.3886/icpsr02295.v1,"California Drug and Alcohol Treatment Assessment (CALDATA), 1991-1993
Skip to Main Content
Find and Access Data
Search for Data
Accessing Restricted-use Data
Deposit Data
Training And Support
About
Mission and Services
Staff
Help
California Drug and Alcohol Treatment Assessment (CALDATA), 1991-1993 (ICPSR 2295)
Version Date:
Oct 7, 2008
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
California Department of Alcohol and Drug Programs."
23263,1,7.0,7.0,"Psychosocial Correlates of Body Mass Index in the United States: Intersection of Race, Gender and Age",https://doi.org/10.17795/ijpbs-3458,ICPSR23263-v1.
23324,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1982",https://doi.org/10.3886/icpsr23324,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1982
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1982 (ICPSR 23324)
Version Date:
Feb 26, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23327,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1983",https://doi.org/10.3886/icpsr23327,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1983
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1983 (ICPSR 23327)
Version Date:
Sep 21, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23339,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1989",https://doi.org/10.3886/icpsr23339,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1989
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1989 (ICPSR 23339)
Version Date:
Sep 21, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23340,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1990",https://doi.org/10.3886/icpsr23340,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1990
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1990 (ICPSR 23340)
Version Date:
Mar 6, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23341,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1990",https://doi.org/10.3886/icpsr23341,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1990
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1990 (ICPSR 23341)
Version Date:
Sep 21, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23347,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1993",https://doi.org/10.3886/icpsr23347,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1993
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1993 (ICPSR 23347)
Version Date:
Sep 21, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
23364,1,48.0,48.0,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1997",https://doi.org/10.3886/icpsr23364,"Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1997
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 1997 (ICPSR 23364)
Version Date:
Sep 21, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
2353,1,48.0,48.0,"Eurobarometer 48.0: Holiday Travel, October-November 1997",https://doi.org/10.3886/icpsr02353,"Eurobarometer 48.0:  Holiday Travel, October-November 1997
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Eurobarometer 48.0:  Holiday Travel, October-November 1997         (ICPSR 2353)
Version Date:
Jun 27, 2002
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Melich, Anna."
23541,2,48.0,48.0,"National Incident-Based Reporting System, 2006: Extract Files",https://doi.org/10.3886/icpsr23541.v2,"National Incident-Based Reporting System, 2006: Extract Files
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Incident-Based Reporting System, 2006: Extract Files (ICPSR 23541)
Version Date:
Apr 19, 2011
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
National Archive of Criminal Justice Data."
23862,2,58.0,58.0,"Civil Justice Survey of State Courts, 2005",https://doi.org/10.3886/icpsr23862,"Civil Justice Survey of State Courts, 2005
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Civil Justice Survey of State Courts, 2005  (ICPSR 23862)
Version Date:
Nov 2, 2011
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
2394,2,50.0,50.0,"Universe of Private Schools, 1976-1980: Condensed Version [United States]",https://doi.org/10.3886/icpsr02394,"Universe of Private Schools, 1976-1980:  Condensed Version [United States]
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Universe of Private Schools, 1976-1980:  Condensed Version [United States]   (ICPSR 2394)
Version Date:
Sep 25, 2000
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Education."
2395,2,51.0,51.0,"National Survey of Private Schools, 1985-1986: Teacher Questionnaire",https://doi.org/10.3886/icpsr02395.v1,"National Survey of Private Schools, 1985-1986:  Teacher Questionnaire
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
National Survey of Private Schools, 1985-1986:  Teacher Questionnaire   (ICPSR 2395)
Version Date:
Oct 18, 2000
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Education."
2407,1,62.0,62.0,"American National Election Studies, 1992-1997: Combined File",https://doi.org/10.3886/icpsr02407,"American National Election Studies, 1992-1997: Combined File
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
American National Election Studies, 1992-1997: Combined File (ICPSR 2407)
Version Date:
Oct 7, 1999
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Sapiro, Virginia, Rosenstone, Steven J., Kinder, Donald R., Miller, Warren E., and National Election Studies."
2433,2,51.0,51.0,"National Prosecutors Survey, 1996",https://doi.org/10.3886/icpsr02433,"National Prosecutors Survey, 1996
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Prosecutors Survey, 1996 (ICPSR 2433)
Version Date:
Nov 4, 2005
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
24421,2,50.0,50.0,"National Electronic Injury Surveillance System All Injury Program, 2006",https://doi.org/10.3886/icpsr24421.v1,"National Electronic Injury Surveillance System All Injury Program, 2006
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Electronic Injury Surveillance System All Injury Program, 2006 (ICPSR 24421)
Version Date:
Jan 16, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Health and Human Services."
2443,2,63.0,63.0,"Eurobarometer 44.3OVR: Employment, Unemployment, and Gender Equality, February-April 1996",https://doi.org/10.3886/icpsr02443.v1,"Eurobarometer 44.3OVR:  Employment, Unemployment, and Gender Equality, February-April 1996
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Eurobarometer 44.3OVR:  Employment, Unemployment, and Gender Equality, February-April 1996     (ICPSR 2443)
Version Date:
Sep 19, 2002
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Reif, Karlheinz, and Marlier, Eric."
24502,1,56.0,56.0,"Latino National Survey (LNS)--New England, 2006",https://doi.org/10.3886/icpsr24502,"Latino National Survey (LNS)--New England, 2006
Skip to Main Content
Search
Site Content
Data
Data
Tools
Overview
Variables
Data-Related Publications
Studies with Online Analysis
Glossary of Social Science Terms
Anti-Racism Data Use Guide
Resources for Research on Gender Identity, Sexual Behavior, and Sexual Orientation
Deposit Data
Help
About
Latino National Survey (LNS)--New England, 2006 (ICPSR 24502)
Version Date:
Jul 17, 2015
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Hu-Dehart, Evelyn, Garcia, Matthew, Garcia Coll, Cynthia, Itzigsohn, Jose, Orr, Marion, Affigne, Tony, and Elorza, Jorge."
24544,2,50.0,50.0,"Delegate Votes on 28 Motions at the United States Constitutional Convention, 1787",https://doi.org/10.3886/icpsr24544,"Delegate Votes on 28 Motions at the United States Constitutional Convention, 1787
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Delegate Votes on 28 Motions at the United States Constitutional Convention, 1787 (ICPSR 24544)
Version Date:
Jun 24, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Dougherty, Keith, and Heckelman, Jac C."
24642,1,62.0,62.0,"Census of State and Federal Adult Correctional Facilities, 2005",https://doi.org/10.3886/icpsr24642,"Census of State and Federal Adult Correctional Facilities, 2005
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Census of State and Federal Adult Correctional Facilities, 2005 (ICPSR 24642)
Version Date:
May 12, 2017
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
2465,2,48.0,48.0,"National Incident-Based Reporting System, 1996",https://doi.org/10.3886/icpsr02465.v3,"National Incident-Based Reporting System, 1996
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
National Incident-Based Reporting System, 1996 (ICPSR 2465)
Version Date:
Jul 16, 2009
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States Department of Justice."
